Name	PassengerId	Survived	Pclass	Sex	Age	SibSp	Parch	Fare	Embarked
Glynn, Miss. Mary Agatha	33	1	3	female	29.69911764705882	0	0	7.75	Q
Wheadon, Mr. Edward H	34	0	2	male	66.0	0	0	10.5	S
Meyer, Mr. Edgar Joseph	35	0	1	male	28.0	1	0	82.1708	C
Holverson, Mr. Alexander Oskar	36	0	1	male	42.0	1	0	52.0	S
Mamee, Mr. Hanna	37	1	3	male	29.69911764705882	0	0	7.2292	C
Cann, Mr. Ernest Charles	38	0	3	male	21.0	0	0	8.05	S
Vander Planke, Miss. Augusta Maria	39	0	3	female	18.0	2	0	18.0	S
Nicola-Yarred, Miss. Jamila	40	1	3	female	14.0	1	0	11.2417	C
Ahlin, Mrs. Johan (Johanna Persdotter Larsson)	41	0	3	female	40.0	1	0	9.475	S
Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)	42	0	2	female	27.0	1	0	21.0	S
Kraeff, Mr. Theodor	43	0	3	male	29.69911764705882	0	0	7.8958	C
Laroche, Miss. Simonne Marie Anne Andree	44	1	2	female	3.0	1	2	41.5792	C
Devaney, Miss. Margaret Delia	45	1	3	female	19.0	0	0	7.8792	Q
Rogers, Mr. William John	46	0	3	male	29.69911764705882	0	0	8.05	S
Lennon, Mr. Denis	47	0	3	male	29.69911764705882	1	0	15.5	Q
O'Driscoll, Miss. Bridget	48	1	3	female	29.69911764705882	0	0	7.75	Q
Samaan, Mr. Youssef	49	0	3	male	29.69911764705882	2	0	21.6792	C
Arnold-Franchi, Mrs. Josef (Josefine Franchi)	50	0	3	female	18.0	1	0	17.8	S
Panula, Master. Juha Niilo	51	0	3	male	7.0	4	1	39.6875	S
Nosworthy, Mr. Richard Cater	52	0	3	male	21.0	0	0	7.8	S
Harper, Mrs. Henry Sleeper (Myna Haxtun)	53	1	1	female	49.0	1	0	76.7292	C
Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)	54	1	2	female	29.0	1	0	26.0	S
Ostby, Mr. Engelhart Cornelius	55	0	1	male	65.0	0	1	61.9792	C
Woolner, Mr. Hugh	56	1	1	male	29.69911764705882	0	0	35.5	S
Rugg, Miss. Emily	57	1	2	female	21.0	0	0	10.5	S
Novel, Mr. Mansouer	58	0	3	male	28.5	0	0	7.2292	C
West, Miss. Constance Mirium	59	1	2	female	5.0	1	2	27.75	S
Goodwin, Master. William Frederick	60	0	3	male	11.0	5	2	46.9	S
Sirayanian, Mr. Orsen	61	0	3	male	22.0	0	0	7.2292	C
Icard, Miss. Amelie	62	1	1	female	38.0	0	0	80.0	S
Harris, Mr. Henry Birkhardt	63	0	1	male	45.0	1	0	83.475	S
Skoog, Master. Harald	64	0	3	male	4.0	3	2	27.9	S
Stewart, Mr. Albert A	65	0	1	male	29.69911764705882	0	0	27.7208	C
Moubarek, Master. Gerios	66	1	3	male	29.69911764705882	1	1	15.2458	C
Nye, Mrs. (Elizabeth Ramell)	67	1	2	female	29.0	0	0	10.5	S
Crease, Mr. Ernest James	68	0	3	male	19.0	0	0	8.1583	S
Andersson, Miss. Erna Alexandra	69	1	3	female	17.0	4	2	7.925	S
Kink, Mr. Vincenz	70	0	3	male	26.0	2	0	8.6625	S
Jenkin, Mr. Stephen Curnow	71	0	2	male	32.0	0	0	10.5	S
Goodwin, Miss. Lillian Amy	72	0	3	female	16.0	5	2	46.9	S
Hood, Mr. Ambrose Jr	73	0	2	male	21.0	0	0	73.5	S
Chronopoulos, Mr. Apostolos	74	0	3	male	26.0	1	0	14.4542	C
Bing, Mr. Lee	75	1	3	male	32.0	0	0	56.4958	S
Moen, Mr. Sigurd Hansen	76	0	3	male	25.0	0	0	7.65	S
Staneff, Mr. Ivan	77	0	3	male	29.69911764705882	0	0	7.8958	S
Moutal, Mr. Rahamin Haim	78	0	3	male	29.69911764705882	0	0	8.05	S
Caldwell, Master. Alden Gates	79	1	2	male	0.83	0	2	29.0	S
Dowdell, Miss. Elizabeth	80	1	3	female	30.0	0	0	12.475	S
Waelens, Mr. Achille	81	0	3	male	22.0	0	0	9.0	S
Sheerlinck, Mr. Jan Baptist	82	1	3	male	29.0	0	0	9.5	S
McDermott, Miss. Brigdet Delia	83	1	3	female	29.69911764705882	0	0	7.7875	Q
Carrau, Mr. Francisco M	84	0	1	male	28.0	0	0	47.1	S
Ilett, Miss. Bertha	85	1	2	female	17.0	0	0	10.5	S
Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)	86	1	3	female	33.0	3	0	15.85	S
Ford, Mr. William Neal	87	0	3	male	16.0	1	3	34.375	S
Slocovski, Mr. Selman Francis	88	0	3	male	29.69911764705882	0	0	8.05	S
Fortune, Miss. Mabel Helen	89	1	1	female	23.0	3	2	263.0	S
Celotti, Mr. Francesco	90	0	3	male	24.0	0	0	8.05	S
Christmann, Mr. Emil	91	0	3	male	29.0	0	0	8.05	S
Andreasson, Mr. Paul Edvin	92	0	3	male	20.0	0	0	7.8542	S
Chaffee, Mr. Herbert Fuller	93	0	1	male	46.0	1	0	61.175	S
Dean, Mr. Bertram Frank	94	0	3	male	26.0	1	2	20.575	S
Coxon, Mr. Daniel	95	0	3	male	59.0	0	0	7.25	S
Shorney, Mr. Charles Joseph	96	0	3	male	29.69911764705882	0	0	8.05	S
Goldschmidt, Mr. George B	97	0	1	male	71.0	0	0	34.6542	C
Greenfield, Mr. William Bertram	98	1	1	male	23.0	0	1	63.3583	C
Doling, Mrs. John T (Ada Julia Bone)	99	1	2	female	34.0	0	1	23.0	S
Kantor, Mr. Sinai	100	0	2	male	34.0	1	0	26.0	S
Petranec, Miss. Matilda	101	0	3	female	28.0	0	0	7.8958	S
"Petroff, Mr. Pastcho (""Pentcho"")"	102	0	3	male	29.69911764705882	0	0	7.8958	S
White, Mr. Richard Frasar	103	0	1	male	21.0	0	1	77.2875	S
Johansson, Mr. Gustaf Joel	104	0	3	male	33.0	0	0	8.6542	S
Gustafsson, Mr. Anders Vilhelm	105	0	3	male	37.0	2	0	7.925	S
Mionoff, Mr. Stoytcho	106	0	3	male	28.0	0	0	7.8958	S
Salkjelsvik, Miss. Anna Kristine	107	1	3	female	21.0	0	0	7.65	S
Moss, Mr. Albert Johan	108	1	3	male	29.69911764705882	0	0	7.775	S
Rekic, Mr. Tido	109	0	3	male	38.0	0	0	7.8958	S
Moran, Miss. Bertha	110	1	3	female	29.69911764705882	1	0	24.15	Q
Porter, Mr. Walter Chamberlain	111	0	1	male	47.0	0	0	52.0	S
Zabour, Miss. Hileni	112	0	3	female	14.5	1	0	14.4542	C
Barton, Mr. David John	113	0	3	male	22.0	0	0	8.05	S
Jussila, Miss. Katriina	114	0	3	female	20.0	1	0	9.825	S
Attalah, Miss. Malake	115	0	3	female	17.0	0	0	14.4583	C
Pekoniemi, Mr. Edvard	116	0	3	male	21.0	0	0	7.925	S
Connors, Mr. Patrick	117	0	3	male	70.5	0	0	7.75	Q
Turpin, Mr. William John Robert	118	0	2	male	29.0	1	0	21.0	S
Baxter, Mr. Quigg Edmond	119	0	1	male	24.0	0	1	247.5208	C
Andersson, Miss. Ellis Anna Maria	120	0	3	female	2.0	4	2	31.275	S
Hickman, Mr. Stanley George	121	0	2	male	21.0	2	0	73.5	S
Moore, Mr. Leonard Charles	122	0	3	male	29.69911764705882	0	0	8.05	S
Nasser, Mr. Nicholas	123	0	2	male	32.5	1	0	30.0708	C
Webber, Miss. Susan	124	1	2	female	32.5	0	0	13.0	S
White, Mr. Percival Wayland	125	0	1	male	54.0	0	1	77.2875	S
Nicola-Yarred, Master. Elias	126	1	3	male	12.0	1	0	11.2417	C
McMahon, Mr. Martin	127	0	3	male	29.69911764705882	0	0	7.75	Q
Madsen, Mr. Fridtjof Arne	128	1	3	male	24.0	0	0	7.1417	S
Peter, Miss. Anna	129	1	3	female	29.69911764705882	1	1	22.3583	C
Ekstrom, Mr. Johan	130	0	3	male	45.0	0	0	6.975	S
Drazenoic, Mr. Jozef	131	0	3	male	33.0	0	0	7.8958	C
Coelho, Mr. Domingos Fernandeo	132	0	3	male	20.0	0	0	7.05	S
Robins, Mrs. Alexander A (Grace Charity Laury)	133	0	3	female	47.0	1	0	14.5	S
Weisz, Mrs. Leopold (Mathilde Francoise Pede)	134	1	2	female	29.0	1	0	26.0	S
Sobey, Mr. Samuel James Hayden	135	0	2	male	25.0	0	0	13.0	S
Richard, Mr. Emile	136	0	2	male	23.0	0	0	15.0458	C
Newsom, Miss. Helen Monypeny	137	1	1	female	19.0	0	2	26.2833	S
Futrelle, Mr. Jacques Heath	138	0	1	male	37.0	1	0	53.1	S
Osen, Mr. Olaf Elon	139	0	3	male	16.0	0	0	9.2167	S
Giglio, Mr. Victor	140	0	1	male	24.0	0	0	79.2	C
Boulos, Mrs. Joseph (Sultana)	141	0	3	female	29.69911764705882	0	2	15.2458	C
Nysten, Miss. Anna Sofia	142	1	3	female	22.0	0	0	7.75	S
Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)	143	1	3	female	24.0	1	0	15.85	S
Burke, Mr. Jeremiah	144	0	3	male	19.0	0	0	6.75	Q
Andrew, Mr. Edgardo Samuel	145	0	2	male	18.0	0	0	11.5	S
Nicholls, Mr. Joseph Charles	146	0	2	male	19.0	1	1	36.75	S
"Andersson, Mr. August Edvard (""Wennerstrom"")"	147	1	3	male	27.0	0	0	7.7958	S
"Ford, Miss. Robina Maggie ""Ruby"""	148	0	3	female	9.0	2	2	34.375	S
"Navratil, Mr. Michel (""Louis M Hoffman"")"	149	0	2	male	36.5	0	2	26.0	S
Byles, Rev. Thomas Roussel Davids	150	0	2	male	42.0	0	0	13.0	S
Bateman, Rev. Robert James	151	0	2	male	51.0	0	0	12.525	S
Pears, Mrs. Thomas (Edith Wearne)	152	1	1	female	22.0	1	0	66.6	S
Meo, Mr. Alfonzo	153	0	3	male	55.5	0	0	8.05	S
van Billiard, Mr. Austin Blyler	154	0	3	male	40.5	0	2	14.5	S
Olsen, Mr. Ole Martin	155	0	3	male	29.69911764705882	0	0	7.3125	S
Williams, Mr. Charles Duane	156	0	1	male	51.0	0	1	61.3792	C
"Gilnagh, Miss. Katherine ""Katie"""	157	1	3	female	16.0	0	0	7.7333	Q
Corn, Mr. Harry	158	0	3	male	30.0	0	0	8.05	S
Smiljanic, Mr. Mile	159	0	3	male	29.69911764705882	0	0	8.6625	S
Sage, Master. Thomas Henry	160	0	3	male	29.69911764705882	8	2	69.55	S
Cribb, Mr. John Hatfield	161	0	3	male	44.0	0	1	16.1	S
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)"	162	1	2	female	40.0	0	0	15.75	S
Bengtsson, Mr. John Viktor	163	0	3	male	26.0	0	0	7.775	S
Calic, Mr. Jovo	164	0	3	male	17.0	0	0	8.6625	S
Panula, Master. Eino Viljami	165	0	3	male	1.0	4	1	39.6875	S
"Goldsmith, Master. Frank John William ""Frankie"""	166	1	3	male	9.0	0	2	20.525	S
Chibnall, Mrs. (Edith Martha Bowerman)	167	1	1	female	29.69911764705882	0	1	55.0	S
Skoog, Mrs. William (Anna Bernhardina Karlsson)	168	0	3	female	45.0	1	4	27.9	S
Baumann, Mr. John D	169	0	1	male	29.69911764705882	0	0	25.925	S
Ling, Mr. Lee	170	0	3	male	28.0	0	0	56.4958	S
Van der hoef, Mr. Wyckoff	171	0	1	male	61.0	0	0	33.5	S
Rice, Master. Arthur	172	0	3	male	4.0	4	1	29.125	Q
Johnson, Miss. Eleanor Ileen	173	1	3	female	1.0	1	1	11.1333	S
Sivola, Mr. Antti Wilhelm	174	0	3	male	21.0	0	0	7.925	S
Smith, Mr. James Clinch	175	0	1	male	56.0	0	0	30.6958	C
Klasen, Mr. Klas Albin	176	0	3	male	18.0	1	1	7.8542	S
Lefebre, Master. Henry Forbes	177	0	3	male	29.69911764705882	3	1	25.4667	S
Isham, Miss. Ann Elizabeth	178	0	1	female	50.0	0	0	28.7125	C
Hale, Mr. Reginald	179	0	2	male	30.0	0	0	13.0	S
Leonard, Mr. Lionel	180	0	3	male	36.0	0	0	0.0	S
Sage, Miss. Constance Gladys	181	0	3	female	29.69911764705882	8	2	69.55	S
Pernot, Mr. Rene	182	0	2	male	29.69911764705882	0	0	15.05	C
Asplund, Master. Clarence Gustaf Hugo	183	0	3	male	9.0	4	2	31.3875	S
Becker, Master. Richard F	184	1	2	male	1.0	2	1	39.0	S
Kink-Heilmann, Miss. Luise Gretchen	185	1	3	female	4.0	0	2	22.025	S
Rood, Mr. Hugh Roscoe	186	0	1	male	29.69911764705882	0	0	50.0	S
"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)"	187	1	3	female	29.69911764705882	1	0	15.5	Q
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")"	188	1	1	male	45.0	0	0	26.55	S
Bourke, Mr. John	189	0	3	male	40.0	1	1	15.5	Q
Turcin, Mr. Stjepan	190	0	3	male	36.0	0	0	7.8958	S
Pinsky, Mrs. (Rosa)	191	1	2	female	32.0	0	0	13.0	S
Carbines, Mr. William	192	0	2	male	19.0	0	0	13.0	S
Andersen-Jensen, Miss. Carla Christine Nielsine	193	1	3	female	19.0	1	0	7.8542	S
Navratil, Master. Michel M	194	1	2	male	3.0	1	1	26.0	S
Brown, Mrs. James Joseph (Margaret Tobin)	195	1	1	female	44.0	0	0	27.7208	C
Lurette, Miss. Elise	196	1	1	female	58.0	0	0	146.5208	C
Mernagh, Mr. Robert	197	0	3	male	29.69911764705882	0	0	7.75	Q
Olsen, Mr. Karl Siegwart Andreas	198	0	3	male	42.0	0	1	8.4042	S
"Madigan, Miss. Margaret ""Maggie"""	199	1	3	female	29.69911764705882	0	0	7.75	Q
"Yrois, Miss. Henriette (""Mrs Harbeck"")"	200	0	2	female	24.0	0	0	13.0	S
Vande Walle, Mr. Nestor Cyriel	201	0	3	male	28.0	0	0	9.5	S
Sage, Mr. Frederick	202	0	3	male	29.69911764705882	8	2	69.55	S
Johanson, Mr. Jakob Alfred	203	0	3	male	34.0	0	0	6.4958	S
Youseff, Mr. Gerious	204	0	3	male	45.5	0	0	7.225	C
"Cohen, Mr. Gurshon ""Gus"""	205	1	3	male	18.0	0	0	8.05	S
Strom, Miss. Telma Matilda	206	0	3	female	2.0	0	1	10.4625	S
Backstrom, Mr. Karl Alfred	207	0	3	male	32.0	1	0	15.85	S
Albimona, Mr. Nassef Cassem	208	1	3	male	26.0	0	0	18.7875	C
"Carr, Miss. Helen ""Ellen"""	209	1	3	female	16.0	0	0	7.75	Q
Blank, Mr. Henry	210	1	1	male	40.0	0	0	31.0	C
Ali, Mr. Ahmed	211	0	3	male	24.0	0	0	7.05	S
Cameron, Miss. Clear Annie	212	1	2	female	35.0	0	0	21.0	S
Perkin, Mr. John Henry	213	0	3	male	22.0	0	0	7.25	S
Givard, Mr. Hans Kristensen	214	0	2	male	30.0	0	0	13.0	S
Kiernan, Mr. Philip	215	0	3	male	29.69911764705882	1	0	7.75	Q
Newell, Miss. Madeleine	216	1	1	female	31.0	1	0	113.275	C
Honkanen, Miss. Eliina	217	1	3	female	27.0	0	0	7.925	S
Jacobsohn, Mr. Sidney Samuel	218	0	2	male	42.0	1	0	27.0	S
Bazzani, Miss. Albina	219	1	1	female	32.0	0	0	76.2917	C
Harris, Mr. Walter	220	0	2	male	30.0	0	0	10.5	S
Sunderland, Mr. Victor Francis	221	1	3	male	16.0	0	0	8.05	S
Bracken, Mr. James H	222	0	2	male	27.0	0	0	13.0	S
Green, Mr. George Henry	223	0	3	male	51.0	0	0	8.05	S
Nenkoff, Mr. Christo	224	0	3	male	29.69911764705882	0	0	7.8958	S
Hoyt, Mr. Frederick Maxfield	225	1	1	male	38.0	1	0	90.0	S
Berglund, Mr. Karl Ivar Sven	226	0	3	male	22.0	0	0	9.35	S
Mellors, Mr. William John	227	1	2	male	19.0	0	0	10.5	S
"Lovell, Mr. John Hall (""Henry"")"	228	0	3	male	20.5	0	0	7.25	S
Fahlstrom, Mr. Arne Jonas	229	0	2	male	18.0	0	0	13.0	S
Lefebre, Miss. Mathilde	230	0	3	female	29.69911764705882	3	1	25.4667	S
Harris, Mrs. Henry Birkhardt (Irene Wallach)	231	1	1	female	35.0	1	0	83.475	S
Larsson, Mr. Bengt Edvin	232	0	3	male	29.0	0	0	7.775	S
Sjostedt, Mr. Ernst Adolf	233	0	2	male	59.0	0	0	13.5	S
Asplund, Miss. Lillian Gertrud	234	1	3	female	5.0	4	2	31.3875	S
Leyson, Mr. Robert William Norman	235	0	2	male	24.0	0	0	10.5	S
Harknett, Miss. Alice Phoebe	236	0	3	female	29.69911764705882	0	0	7.55	S
Hold, Mr. Stephen	237	0	2	male	44.0	1	0	26.0	S
"Collyer, Miss. Marjorie ""Lottie"""	238	1	2	female	8.0	0	2	26.25	S
Pengelly, Mr. Frederick William	239	0	2	male	19.0	0	0	10.5	S
Hunt, Mr. George Henry	240	0	2	male	33.0	0	0	12.275	S
Zabour, Miss. Thamine	241	0	3	female	29.69911764705882	1	0	14.4542	C
"Murphy, Miss. Katherine ""Kate"""	242	1	3	female	29.69911764705882	1	0	15.5	Q
Coleridge, Mr. Reginald Charles	243	0	2	male	29.0	0	0	10.5	S
Maenpaa, Mr. Matti Alexanteri	244	0	3	male	22.0	0	0	7.125	S
Attalah, Mr. Sleiman	245	0	3	male	30.0	0	0	7.225	C
Minahan, Dr. William Edward	246	0	1	male	44.0	2	0	90.0	Q
Lindahl, Miss. Agda Thorilda Viktoria	247	0	3	female	25.0	0	0	7.775	S
Hamalainen, Mrs. William (Anna)	248	1	2	female	24.0	0	2	14.5	S
Beckwith, Mr. Richard Leonard	249	1	1	male	37.0	1	1	52.5542	S
Carter, Rev. Ernest Courtenay	250	0	2	male	54.0	1	0	26.0	S
Reed, Mr. James George	251	0	3	male	29.69911764705882	0	0	7.25	S
Strom, Mrs. Wilhelm (Elna Matilda Persson)	252	0	3	female	29.0	1	1	10.4625	S
Stead, Mr. William Thomas	253	0	1	male	62.0	0	0	26.55	S
Lobb, Mr. William Arthur	254	0	3	male	30.0	1	0	16.1	S
Rosblom, Mrs. Viktor (Helena Wilhelmina)	255	0	3	female	41.0	0	2	20.2125	S
Touma, Mrs. Darwis (Hanne Youssef Razi)	256	1	3	female	29.0	0	2	15.2458	C
Thorne, Mrs. Gertrude Maybelle	257	1	1	female	29.69911764705882	0	0	79.2	C
Cherry, Miss. Gladys	258	1	1	female	30.0	0	0	86.5	S
Ward, Miss. Anna	259	1	1	female	35.0	0	0	512.3292	C
Parrish, Mrs. (Lutie Davis)	260	1	2	female	50.0	0	1	26.0	S
Smith, Mr. Thomas	261	0	3	male	29.69911764705882	0	0	7.75	Q
Asplund, Master. Edvin Rojj Felix	262	1	3	male	3.0	4	2	31.3875	S
Taussig, Mr. Emil	263	0	1	male	52.0	1	1	79.65	S
Harrison, Mr. William	264	0	1	male	40.0	0	0	0.0	S
Henry, Miss. Delia	265	0	3	female	29.69911764705882	0	0	7.75	Q
Reeves, Mr. David	266	0	2	male	36.0	0	0	10.5	S
Panula, Mr. Ernesti Arvid	267	0	3	male	16.0	4	1	39.6875	S
Persson, Mr. Ernst Ulrik	268	1	3	male	25.0	1	0	7.775	S
Graham, Mrs. William Thompson (Edith Junkins)	269	1	1	female	58.0	0	1	153.4625	S
Bissette, Miss. Amelia	270	1	1	female	35.0	0	0	135.6333	S
Cairns, Mr. Alexander	271	0	1	male	29.69911764705882	0	0	31.0	S
Tornquist, Mr. William Henry	272	1	3	male	25.0	0	0	0.0	S
Mellinger, Mrs. (Elizabeth Anne Maidment)	273	1	2	female	41.0	0	1	19.5	S
Natsch, Mr. Charles H	274	0	1	male	37.0	0	1	29.7	C
"Healy, Miss. Hanora ""Nora"""	275	1	3	female	29.69911764705882	0	0	7.75	Q
Andrews, Miss. Kornelia Theodosia	276	1	1	female	63.0	1	0	77.9583	S
Lindblom, Miss. Augusta Charlotta	277	0	3	female	45.0	0	0	7.75	S
"Parkes, Mr. Francis ""Frank"""	278	0	2	male	29.69911764705882	0	0	0.0	S
Rice, Master. Eric	279	0	3	male	7.0	4	1	29.125	Q
Abbott, Mrs. Stanton (Rosa Hunt)	280	1	3	female	35.0	1	1	20.25	S
Duane, Mr. Frank	281	0	3	male	65.0	0	0	7.75	Q
Olsson, Mr. Nils Johan Goransson	282	0	3	male	28.0	0	0	7.8542	S
de Pelsmaeker, Mr. Alfons	283	0	3	male	16.0	0	0	9.5	S
Dorking, Mr. Edward Arthur	284	1	3	male	19.0	0	0	8.05	S
Smith, Mr. Richard William	285	0	1	male	29.69911764705882	0	0	26.0	S
Stankovic, Mr. Ivan	286	0	3	male	33.0	0	0	8.6625	C
de Mulder, Mr. Theodore	287	1	3	male	30.0	0	0	9.5	S
Naidenoff, Mr. Penko	288	0	3	male	22.0	0	0	7.8958	S
Hosono, Mr. Masabumi	289	1	2	male	42.0	0	0	13.0	S
Connolly, Miss. Kate	290	1	3	female	22.0	0	0	7.75	Q
"Barber, Miss. Ellen ""Nellie"""	291	1	1	female	26.0	0	0	78.85	S
Bishop, Mrs. Dickinson H (Helen Walton)	292	1	1	female	19.0	1	0	91.0792	C
Levy, Mr. Rene Jacques	293	0	2	male	36.0	0	0	12.875	C
Haas, Miss. Aloisia	294	0	3	female	24.0	0	0	8.85	S
Mineff, Mr. Ivan	295	0	3	male	24.0	0	0	7.8958	S
Lewy, Mr. Ervin G	296	0	1	male	29.69911764705882	0	0	27.7208	C
Hanna, Mr. Mansour	297	0	3	male	23.5	0	0	7.2292	C
Allison, Miss. Helen Loraine	298	0	1	female	2.0	1	2	151.55	S
Saalfeld, Mr. Adolphe	299	1	1	male	29.69911764705882	0	0	30.5	S
Baxter, Mrs. James (Helene DeLaudeniere Chaput)	300	1	1	female	50.0	0	1	247.5208	C
"Kelly, Miss. Anna Katherine ""Annie Kate"""	301	1	3	female	29.69911764705882	0	0	7.75	Q
McCoy, Mr. Bernard	302	1	3	male	29.69911764705882	2	0	23.25	Q
Johnson, Mr. William Cahoone Jr	303	0	3	male	19.0	0	0	0.0	S
Keane, Miss. Nora A	304	1	2	female	29.69911764705882	0	0	12.35	Q
"Williams, Mr. Howard Hugh ""Harry"""	305	0	3	male	29.69911764705882	0	0	8.05	S
Allison, Master. Hudson Trevor	306	1	1	male	0.92	1	2	151.55	S
Fleming, Miss. Margaret	307	1	1	female	29.69911764705882	0	0	110.8833	C
Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)	308	1	1	female	17.0	1	0	108.9	C
Abelson, Mr. Samuel	309	0	2	male	30.0	1	0	24.0	C
Francatelli, Miss. Laura Mabel	310	1	1	female	30.0	0	0	56.9292	C
Hays, Miss. Margaret Bechstein	311	1	1	female	24.0	0	0	83.1583	C
Ryerson, Miss. Emily Borie	312	1	1	female	18.0	2	2	262.375	C
Lahtinen, Mrs. William (Anna Sylfven)	313	0	2	female	26.0	1	1	26.0	S
Hendekovic, Mr. Ignjac	314	0	3	male	28.0	0	0	7.8958	S
Hart, Mr. Benjamin	315	0	2	male	43.0	1	1	26.25	S
Nilsson, Miss. Helmina Josefina	316	1	3	female	26.0	0	0	7.8542	S
Kantor, Mrs. Sinai (Miriam Sternin)	317	1	2	female	24.0	1	0	26.0	S
Moraweck, Dr. Ernest	318	0	2	male	54.0	0	0	14.0	S
Wick, Miss. Mary Natalie	319	1	1	female	31.0	0	2	164.8667	S
Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)	320	1	1	female	40.0	1	1	134.5	C
Dennis, Mr. Samuel	321	0	3	male	22.0	0	0	7.25	S
Danoff, Mr. Yoto	322	0	3	male	27.0	0	0	7.8958	S
Slayter, Miss. Hilda Mary	323	1	2	female	30.0	0	0	12.35	Q
Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)	324	1	2	female	22.0	1	1	29.0	S
Sage, Mr. George John Jr	325	0	3	male	29.69911764705882	8	2	69.55	S
Young, Miss. Marie Grice	326	1	1	female	36.0	0	0	135.6333	C
Nysveen, Mr. Johan Hansen	327	0	3	male	61.0	0	0	6.2375	S
Ball, Mrs. (Ada E Hall)	328	1	2	female	36.0	0	0	13.0	S
Goldsmith, Mrs. Frank John (Emily Alice Brown)	329	1	3	female	31.0	1	1	20.525	S
Hippach, Miss. Jean Gertrude	330	1	1	female	16.0	0	1	57.9792	C
McCoy, Miss. Agnes	331	1	3	female	29.69911764705882	2	0	23.25	Q
Partner, Mr. Austen	332	0	1	male	45.5	0	0	28.5	S
Graham, Mr. George Edward	333	0	1	male	38.0	0	1	153.4625	S
Vander Planke, Mr. Leo Edmondus	334	0	3	male	16.0	2	0	18.0	S
Frauenthal, Mrs. Henry William (Clara Heinsheimer)	335	1	1	female	29.69911764705882	1	0	133.65	S
Denkoff, Mr. Mitto	336	0	3	male	29.69911764705882	0	0	7.8958	S
Pears, Mr. Thomas Clinton	337	0	1	male	29.0	1	0	66.6	S
